destination,hostname
104.208.16.92,
13.69.239.77,
142.67.120.46,host-142-67-120-46.public.eastlink.ca
20.241.44.114,
20.242.39.171,
20.42.73.26,
20.7.252.84,
204.79.197.203,a-0003.a-msedge.net
204.79.197.222,
224.0.0.251,mdns.mcast.net
224.0.0.252,
23.215.25.123,a23-215-25-123.deploy.static.akamaitechnologies.com
23.215.26.45,a23-215-26-45.deploy.static.akamaitechnologies.com
23.53.4.26,a23-53-4-26.deploy.static.akamaitechnologies.com
23.53.4.9,a23-53-4-9.deploy.static.akamaitechnologies.com
23.58.191.18,a23-58-191-18.deploy.static.akamaitechnologies.com
239.255.255.250,
24.222.184.152,host-24-222-184-152.public.eastlink.ca
24.222.184.168,host-24-222-184-168.public.eastlink.ca
24.222.184.171,host-24-222-184-171.public.eastlink.ca
24.222.184.179,host-24-222-184-179.public.eastlink.ca
24.222.184.203,host-24-222-184-203.public.eastlink.ca
255.255.255.255,
4.152.199.46,
4.153.170.17,
40.126.29.8,
40.69.42.241,
51.132.193.104,
52.109.4.7,
52.167.160.173,
52.178.17.235,
52.182.143.208,
52.183.205.142,
